geo,TIME_PERIOD,OBS_VALUE
Austria,2015,8584926
Austria,2016,8700471
Austria,2017,8772865
Austria,2018,8822267
Austria,2019,8858775
Austria,2020,8901064
Austria,2021,8932664
Austria,2022,8978929
Austria,2023,9104772
Belgium,2015,11237274
Belgium,2016,11311117
Belgium,2017,11351727
Belgium,2018,11398589
Belgium,2019,11455519
Belgium,2020,11522440
Belgium,2021,11554767
Belgium,2022,11617623
Belgium,2023,11742796
Cyprus,2015,847008
Cyprus,2016,848319
Cyprus,2017,854802
Cyprus,2018,864236
Cyprus,2019,875899
Cyprus,2020,888005
Cyprus,2021,896007
Cyprus,2022,904705
Cyprus,2023,920701
Germany,2015,81197537
Germany,2016,82175684
Germany,2017,82521653
Germany,2018,82792351
Germany,2019,83019213
Germany,2020,83166711
Germany,2021,83155031
Germany,2022,83237124
Germany,2023,84358845
Estonia,2015,1314870
Estonia,2016,1315944
Estonia,2017,1315635
Estonia,2018,1319133
Estonia,2019,1324820
Estonia,2020,1328976
Estonia,2021,1330068
Estonia,2022,1331796
Estonia,2023,1365884
Greece,2015,10858018
Greece,2016,10783748
Greece,2017,10768193
Greece,2018,10741165
Greece,2019,10724599
Greece,2020,10718565
Greece,2021,10678632
Greece,2022,10459782
Greece,2023,10413982
Spain,2015,46425722
Spain,2016,46418884
Spain,2017,46497393
Spain,2018,46645070
Spain,2019,46918951
Spain,2020,47318050
Spain,2021,47400798
Spain,2022,47486843
Spain,2023,48085361
Finland,2015,5471753
Finland,2016,5487308
Finland,2017,5503297
Finland,2018,5513130
Finland,2019,5517919
Finland,2020,5525292
Finland,2021,5533793
Finland,2022,5548241
Finland,2023,5563970
France,2015,66458153
France,2016,66638391
France,2017,66809816
France,2018,67026224
France,2019,67290471
France,2020,67473651
France,2021,67728568
France,2022,67957053
France,2023,68172977
Ireland,2015,4677627
Ireland,2016,4726286
Ireland,2017,4799157
Ireland,2018,4855733
Ireland,2019,4940311
Ireland,2020,5012600
Ireland,2021,5066893
Ireland,2022,5154277
Ireland,2023,5271395
Italy,2015,60295497
Italy,2016,60163712
Italy,2017,60066734
Italy,2018,59937769
Italy,2019,59816673
Italy,2020,59641488
Italy,2021,59236213
Italy,2022,59030133
Italy,2023,58997201
Lithuania,2015,2926644
Lithuania,2016,2895573
Lithuania,2017,2859077
Lithuania,2018,2826200
Lithuania,2019,2812200
Lithuania,2020,2809977
Lithuania,2021,2810761
Lithuania,2022,2805998
Lithuania,2023,2857279
Luxembourg,2015,562958
Luxembourg,2016,576249
Luxembourg,2017,590667
Luxembourg,2018,602005
Luxembourg,2019,613894
Luxembourg,2020,626108
Luxembourg,2021,634730
Luxembourg,2022,645397
Luxembourg,2023,660809
Latvia,2015,1986096
Latvia,2016,1968957
Latvia,2017,1950116
Latvia,2018,1934379
Latvia,2019,1919968
Latvia,2020,1907675
Latvia,2021,1893223
Latvia,2022,1875757
Latvia,2023,1883008
Malta,2015,438805
Malta,2016,449635
Malta,2017,459375
Malta,2018,474837
Malta,2019,492968
Malta,2020,514855
Malta,2021,516100
Malta,2022,520174
Malta,2023,542051
Netherlands,2015,16900726
Netherlands,2016,16979120
Netherlands,2017,17081507
Netherlands,2018,17181084
Netherlands,2019,17282163
Netherlands,2020,17407585
Netherlands,2021,17475415
Netherlands,2022,17590672
Netherlands,2023,17811291
Portugal,2015,10395121
Portugal,2016,10368554
Portugal,2017,10344478
Portugal,2018,10335770
Portugal,2019,10333496
Portugal,2020,10375395
Portugal,2021,10394297
Portugal,2022,10421117
Portugal,2023,10516621
Slovenia,2015,2062874
Slovenia,2016,2064188
Slovenia,2017,2065895
Slovenia,2018,2066880
Slovenia,2019,2080908
Slovenia,2020,2095861
Slovenia,2021,2108977
Slovenia,2022,2107180
Slovenia,2023,2116972
Slovakia,2015,5421349
Slovakia,2016,5426252
Slovakia,2017,5435343
Slovakia,2018,5443120
Slovakia,2019,5450421
Slovakia,2020,5457873
Slovakia,2021,5459781
Slovakia,2022,5434712
Slovakia,2023,5428792
